Quantity,UnitPrice,ItemsInCart,TotalPrice
3.0,,7.0,344.43
5.0,,8.0,2276.65
,182.08,4.0,728.32
5.0,,6.0,2463.75
4.0,48.61,7.0,194.44
4.0,431.01,7.0,1724.04
1.0,531.18,6.0,531.18
4.0,117.51,7.0,470.04
2.0,232.83,7.0,465.66
5.0,,9.0,3097.6
,228.54,3.0,457.08
,201.58,2.0,201.58
,,6.0,1994.37
1.0,381.02,6.0,381.02
2.0,,3.0,140.68
4.0,218.43,9.0,873.72
1.0,582.04,1.0,582.04
3.0,185.4,,556.2
3.0,465.05,3.0,1395.15
5.0,670.75,8.0,3330.4075
5.0,48.38,9.0,241.9
,592.87,3.0,1778.61
1.0,,,220.77
3.0,309.22,7.0,927.66
1.0,410.6,2.0,410.6
5.0,190.08,9.0,950.4
5.0,498.48,8.0,2492.4
5.0,374.99,9.0,1874.95
4.0,291.35,,1165.4
1.0,535.5,5.0,535.5
5.0,,7.0,2513.55
2.0,,7.0,1069.34
4.0,629.34,4.0,2517.36
1.0,410.78,,410.78
2.0,533.02,2.0,1066.04
,278.04,5.0,834.12
4.0,283.79,8.0,1135.16
2.0,512.65,5.0,1025.3
4.0,275.5,8.0,1102.0
3.0,469.32,3.0,1407.96
,21.07,,84.28
4.0,263.93,4.0,1055.72
3.0,501.3,3.0,1503.9
1.0,84.8,5.0,84.8
,450.75,6.0,1803.0
4.0,302.05,,1208.2
2.0,199.7,4.0,399.4
2.0,68.81,5.0,137.62
1.0,44.35,1.0,44.35
2.0,250.98,,501.96
1.0,,3.0,298.06
1.0,,1.0,583.9
3.0,528.14,3.0,1584.42
3.0,684.14,3.0,2052.42
5.0,272.77,7.0,1363.85
4.0,400.07,5.0,1600.28
5.0,219.78,,1098.9
,146.91,6.0,440.73
2.0,411.49,,822.98
2.0,465.18,2.0,930.36
,319.91,3.0,639.82
1.0,,,217.56
2.0,105.57,5.0,211.14
5.0,444.76,,2223.8
,399.04,3.0,798.08
4.0,534.48,9.0,2137.92
4.0,408.21,,1632.84
1.0,424.4,6.0,424.4
2.0,269.83,4.0,539.66
2.0,564.58,4.0,1129.16
1.0,331.06,,331.06
1.0,299.35,5.0,299.35
4.0,101.32,7.0,405.28
1.0,211.14,1.0,211.14
3.0,65.86,,197.58
1.0,641.39,,641.39
,536.58,5.0,2682.9
2.0,,7.0,1000.58
3.0,86.29,6.0,258.87
2.0,384.14,2.0,768.28
,594.96,6.0,594.96
1.0,427.82,2.0,427.82
4.0,662.94,8.0,2651.76
,148.22,7.0,296.44
1.0,254.12,1.0,254.12
3.0,664.46,4.0,1993.38
4.0,600.81,9.0,2403.24
5.0,68.34,6.0,341.7
4.0,430.83,8.0,1723.32
5.0,431.69,10.0,2158.45
4.0,512.06,5.0,2048.24
,539.91,8.0,1619.73
5.0,316.07,,1580.35
,404.39,10.0,2021.95
1.0,600.54,4.0,600.54
5.0,186.28,8.0,931.4
4.0,214.54,7.0,858.16
1.0,210.7,2.0,210.7
2.0,133.55,,267.1
1.0,,6.0,590.87
2.0,363.91,2.0,727.82
5.0,429.45,5.0,2147.25
,223.7,3.0,671.1
2.0,,4.0,977.74
1.0,645.46,5.0,645.46
1.0,46.66,6.0,46.66
1.0,249.57,,249.57
3.0,619.21,6.0,1857.63
4.0,217.13,8.0,868.52
5.0,221.51,5.0,1107.55
4.0,340.3,8.0,1361.2
1.0,625.0,,625.0
5.0,433.26,9.0,2166.3
,674.9,,1349.8
3.0,,3.0,761.94
3.0,356.84,5.0,1070.52
4.0,413.71,,1654.84
,147.39,3.0,442.17
,229.1,,916.4
1.0,121.96,3.0,121.96
,408.32,3.0,816.64
5.0,187.97,,939.85
3.0,358.48,7.0,1075.44
3.0,,,580.74
1.0,265.38,6.0,265.38
1.0,,6.0,634.4
4.0,305.72,5.0,1222.88
1.0,303.6,,303.6
4.0,,8.0,1984.0
4.0,,9.0,1286.04
3.0,112.46,6.0,337.38
5.0,61.97,6.0,309.85
2.0,373.17,6.0,746.34
5.0,639.37,6.0,3196.85
,,8.0,2773.44
4.0,,9.0,2771.64
4.0,91.46,9.0,365.84
3.0,273.96,8.0,821.88
3.0,,,1764.15
2.0,365.17,4.0,730.34
4.0,385.92,8.0,1543.68
1.0,562.61,3.0,562.61
4.0,61.91,6.0,247.64
4.0,41.9,9.0,167.6
4.0,444.44,,1777.76
3.0,311.33,3.0,933.99
4.0,,7.0,945.64
1.0,,2.0,65.45
1.0,318.81,3.0,318.81
,583.72,5.0,1751.16
4.0,384.32,6.0,1537.28
3.0,538.74,6.0,1616.22
1.0,17.24,2.0,17.24
5.0,,,3078.35
2.0,219.1,4.0,438.2
2.0,144.66,7.0,289.32
,317.77,,635.54
1.0,223.3,1.0,223.3
2.0,342.11,2.0,684.22
2.0,220.9,4.0,441.8
1.0,670.54,6.0,670.54
1.0,546.19,5.0,546.19
3.0,42.95,8.0,128.85
4.0,14.69,9.0,58.76
4.0,668.36,5.0,2673.44
4.0,413.74,,1654.96
3.0,,5.0,789.57
1.0,263.96,2.0,263.96
5.0,75.81,10.0,379.05
1.0,406.22,5.0,406.22
2.0,103.41,2.0,206.82
,435.12,9.0,1740.48
2.0,407.79,3.0,815.58
5.0,173.65,9.0,868.25
,,5.0,996.28
4.0,434.85,4.0,1739.4
1.0,436.77,5.0,436.77
1.0,,4.0,572.13
4.0,583.07,,2332.28
5.0,468.51,9.0,2342.55
2.0,423.88,7.0,847.76
4.0,663.67,7.0,2654.68
4.0,309.91,5.0,1239.64
1.0,542.07,6.0,542.07
2.0,399.32,6.0,798.64
2.0,238.25,7.0,476.5
2.0,182.4,5.0,364.8
2.0,65.07,4.0,130.14
2.0,600.57,3.0,1201.14
5.0,90.92,,454.6
5.0,362.46,,1812.3
3.0,55.01,7.0,165.03
3.0,404.62,6.0,1213.86
4.0,,9.0,2619.16
4.0,637.79,,2551.16
,,6.0,2161.32
5.0,208.17,6.0,1040.85
,338.31,,338.31
3.0,139.45,,418.35
4.0,655.18,5.0,2620.72
4.0,512.75,8.0,2051.0
4.0,160.49,8.0,641.96
,99.9,8.0,299.7
,345.01,6.0,690.02
1.0,65.95,,65.95
4.0,,9.0,1852.16
,297.71,7.0,595.42
5.0,107.48,9.0,537.4
5.0,638.8,10.0,3194.0
2.0,493.88,7.0,987.76
4.0,301.17,6.0,1204.68
,278.66,2.0,278.66
,287.46,3.0,287.46
1.0,583.99,2.0,583.99
3.0,,,1406.22
1.0,30.54,,30.54
5.0,408.73,10.0,2043.65
4.0,126.89,9.0,507.56
2.0,57.07,,114.14
3.0,557.41,4.0,1672.23
3.0,448.9,,1346.7
4.0,549.76,4.0,2199.04
3.0,132.48,4.0,397.44
,489.37,8.0,2446.85
,66.31,7.0,331.55
2.0,,7.0,868.6
4.0,153.09,,612.36
5.0,,9.0,458.35
4.0,275.28,9.0,1101.12
2.0,139.95,5.0,279.9
3.0,148.72,7.0,446.16
2.0,563.06,,1126.12
1.0,,1.0,625.51
4.0,152.29,6.0,609.16
5.0,231.82,6.0,1159.1
1.0,,1.0,150.17
3.0,70.93,5.0,212.79
3.0,361.39,8.0,1084.17
5.0,670.48,,3330.4075
1.0,359.99,5.0,359.99
5.0,674.04,7.0,3330.4075
4.0,283.16,6.0,1132.64
5.0,260.53,5.0,1302.65
3.0,422.13,7.0,1266.39
,125.02,,625.1
,198.51,5.0,198.51
,224.75,7.0,899.0
,,4.0,617.58
1.0,18.2,4.0,18.2
3.0,502.77,8.0,1508.31
5.0,305.49,10.0,1527.45
,236.33,,472.66
5.0,521.25,8.0,2606.25
1.0,,5.0,167.15
5.0,466.42,5.0,2332.1
1.0,527.57,,527.57
3.0,623.34,3.0,1870.02
5.0,501.26,10.0,2506.3
1.0,655.09,6.0,655.09
,264.79,,1059.16
3.0,,7.0,1079.19
1.0,465.33,2.0,465.33
2.0,54.41,6.0,108.82
1.0,64.66,4.0,64.66
5.0,173.96,8.0,869.8
1.0,630.82,5.0,630.82
,693.41,4.0,693.41
3.0,433.33,4.0,1299.99
,374.58,10.0,1872.9
5.0,408.56,8.0,2042.8
2.0,183.67,3.0,367.34
4.0,606.57,,2426.28
4.0,589.57,,2358.28
5.0,659.85,,3299.25
4.0,206.84,5.0,827.36
5.0,113.87,6.0,569.35
5.0,628.74,,3143.7
1.0,678.38,4.0,678.38
3.0,602.24,8.0,1806.72
5.0,,10.0,3293.85
3.0,271.02,6.0,813.06
,375.25,9.0,1876.25
,312.11,,312.11
,307.76,9.0,1538.8
,483.53,4.0,1450.59
3.0,341.15,4.0,1023.45
,571.9,1.0,571.9
4.0,,8.0,380.12
5.0,,,1006.1
,260.26,5.0,260.26
5.0,64.5,8.0,322.5
3.0,297.67,6.0,893.01
,331.9,,1327.6
1.0,191.76,1.0,191.76
4.0,263.09,8.0,1052.36
4.0,393.8,7.0,1575.2
3.0,553.57,4.0,1660.71
5.0,,6.0,958.15
1.0,93.02,4.0,93.02
2.0,39.53,3.0,79.06
3.0,633.97,7.0,1901.91
4.0,697.5,7.0,2790.0
5.0,508.69,10.0,2543.45
2.0,527.46,3.0,1054.92
1.0,,1.0,627.2
1.0,,3.0,75.01
5.0,529.55,10.0,2647.75
3.0,127.41,7.0,382.23
5.0,287.13,,1435.65
1.0,,1.0,427.06
5.0,,7.0,269.65
5.0,423.93,5.0,2119.65
,160.22,9.0,640.88
1.0,538.68,6.0,538.68
5.0,337.38,5.0,1686.9
1.0,620.21,1.0,620.21
2.0,,6.0,198.2
4.0,451.97,7.0,1807.88
4.0,,9.0,264.4
,547.32,8.0,2189.28
3.0,412.53,6.0,1237.59
,84.13,9.0,420.65
2.0,518.23,5.0,1036.46
2.0,39.51,5.0,79.02
5.0,133.01,10.0,665.05
1.0,118.8,6.0,118.8
2.0,139.57,4.0,279.14
1.0,184.15,5.0,184.15
2.0,644.05,5.0,1288.1
5.0,55.41,,277.05
1.0,310.93,,310.93
2.0,216.66,6.0,433.32
1.0,452.7,5.0,452.7
2.0,,5.0,576.42
,206.6,6.0,826.4
4.0,685.2,6.0,2740.8
,22.94,10.0,114.7
2.0,301.88,5.0,603.76
5.0,57.45,10.0,287.25
1.0,161.24,,161.24
4.0,,8.0,1050.32
,515.19,,2060.76
,450.07,6.0,450.07
1.0,52.54,6.0,52.54
2.0,424.32,,848.64
,631.64,3.0,1894.92
,327.68,6.0,1638.4
1.0,414.47,3.0,414.47
,221.33,5.0,885.32
1.0,512.39,,512.39
3.0,459.34,3.0,1378.02
,146.32,4.0,146.32
,83.6,4.0,334.4
2.0,328.54,6.0,657.08
5.0,314.94,8.0,1574.7
2.0,69.64,6.0,139.28
1.0,,6.0,135.17
1.0,487.21,3.0,487.21
5.0,,6.0,2547.9
2.0,416.81,2.0,833.62
2.0,160.0,4.0,320.0
,253.05,3.0,759.15
5.0,,10.0,3075.5
1.0,183.18,6.0,183.18
1.0,75.78,5.0,75.78
1.0,675.57,1.0,675.57
,,,109.29
1.0,639.83,2.0,639.83
,62.81,9.0,314.05
4.0,615.83,,2463.32
,510.58,,2042.32
,334.39,2.0,334.39
,144.25,2.0,144.25
1.0,401.82,5.0,401.82
1.0,252.68,1.0,252.68
5.0,662.78,9.0,3313.9
4.0,434.42,6.0,1737.68
5.0,513.49,8.0,2567.45
1.0,432.47,4.0,432.47
1.0,45.94,2.0,45.94
1.0,,5.0,418.36
5.0,676.98,5.0,3330.4075
,263.62,5.0,1054.48
5.0,551.27,7.0,2756.35
,508.12,8.0,1524.36
2.0,14.93,4.0,29.86
3.0,229.34,6.0,688.02
2.0,438.62,3.0,877.24
,,4.0,1027.18
2.0,253.74,5.0,507.48
3.0,62.77,6.0,188.31
4.0,25.29,8.0,101.16
1.0,335.1,6.0,335.1
4.0,484.85,5.0,1939.4
3.0,381.41,6.0,1144.23
5.0,347.92,,1739.6
4.0,,,60.04
3.0,404.79,6.0,1214.37
,611.26,5.0,2445.04
3.0,346.52,3.0,1039.56
1.0,36.65,1.0,36.65
3.0,149.34,7.0,448.02
5.0,467.81,10.0,2339.05
5.0,420.7,5.0,2103.5
5.0,606.52,6.0,3032.6
1.0,,4.0,420.26
3.0,505.79,3.0,1517.37
4.0,,6.0,1974.92
3.0,,3.0,603.63
,,6.0,336.87
4.0,132.56,8.0,530.24
3.0,539.46,,1618.38
5.0,508.59,,2542.95
4.0,203.46,7.0,813.84
3.0,565.25,,1695.75
3.0,136.84,4.0,410.52
2.0,464.5,2.0,929.0
2.0,,,869.94
2.0,43.67,4.0,87.34
1.0,171.59,5.0,171.59
1.0,558.27,1.0,558.27
2.0,425.03,2.0,850.06
1.0,376.76,5.0,376.76
5.0,,,2876.2
3.0,568.02,3.0,1704.06
3.0,94.88,8.0,284.64
,,3.0,912.45
,553.52,4.0,1660.56
3.0,,8.0,500.97
4.0,198.35,7.0,793.4
4.0,403.58,9.0,1614.32
4.0,464.29,5.0,1857.16
3.0,,5.0,1907.94
1.0,,2.0,528.06
1.0,515.32,1.0,515.32
4.0,,6.0,2631.16
1.0,153.0,4.0,153.0
1.0,,1.0,668.48
2.0,46.5,7.0,93.0
5.0,653.47,10.0,3267.35
,628.89,2.0,628.89
2.0,675.1,4.0,1350.2
4.0,89.41,9.0,357.64
5.0,320.01,6.0,1600.05
2.0,41.0,,82.0
1.0,565.85,1.0,565.85
3.0,,4.0,1945.77
3.0,68.12,3.0,204.36
1.0,616.1,6.0,616.1
3.0,247.47,4.0,742.41
3.0,490.74,3.0,1472.22
,531.72,,1595.16
5.0,648.65,7.0,3243.25
5.0,456.06,10.0,2280.3
1.0,17.98,6.0,17.98
5.0,,6.0,1349.3
5.0,31.96,5.0,159.8
2.0,98.47,,196.94
,,6.0,158.68
1.0,613.98,4.0,613.98
3.0,426.12,5.0,1278.36
4.0,,8.0,2519.52
4.0,228.91,4.0,915.64
1.0,120.98,6.0,120.98
4.0,,8.0,1700.72
2.0,333.83,4.0,667.66
2.0,492.9,5.0,985.8
1.0,92.04,2.0,92.04
,654.27,2.0,654.27
,56.2,1.0,56.2
4.0,,6.0,2512.48
3.0,157.4,7.0,472.2
4.0,588.85,7.0,2355.4
2.0,494.78,2.0,989.56
,,6.0,1991.79
,132.68,1.0,132.68
5.0,364.28,5.0,1821.4
5.0,307.98,10.0,1539.9
4.0,162.71,7.0,650.84
5.0,492.94,10.0,2464.7
2.0,343.99,4.0,687.98
5.0,250.68,8.0,1253.4
2.0,362.14,2.0,724.28
1.0,214.08,2.0,214.08
1.0,70.32,4.0,70.32
5.0,421.42,7.0,2107.1
5.0,384.69,6.0,1923.45
5.0,448.15,,2240.75
,79.08,8.0,395.4
4.0,185.41,,741.64
5.0,566.07,6.0,2830.35
2.0,187.88,4.0,375.76
2.0,,4.0,511.98
1.0,627.34,1.0,627.34
3.0,474.14,8.0,1422.42
3.0,154.37,4.0,463.11
4.0,145.05,6.0,580.2
4.0,67.08,8.0,268.32
,522.08,,522.08
,514.6,10.0,2573.0
,,9.0,2311.28
2.0,500.8,3.0,1001.6
,461.13,4.0,922.26
1.0,605.28,3.0,605.28
3.0,204.27,4.0,612.81
1.0,489.8,4.0,489.8
5.0,,,363.2
2.0,,7.0,770.32
3.0,606.41,7.0,1819.23
2.0,,4.0,423.64
5.0,,5.0,2476.75
,,4.0,1670.97
1.0,72.31,1.0,72.31
5.0,24.82,10.0,124.1
4.0,26.04,5.0,104.16
,657.07,4.0,657.07
,32.62,6.0,97.86
2.0,228.91,4.0,457.82
3.0,274.75,3.0,824.25
4.0,634.05,,2536.2
5.0,543.16,6.0,2715.8
3.0,,,1347.39
,389.62,7.0,1948.1
1.0,305.17,3.0,305.17
3.0,445.12,8.0,1335.36
,,4.0,460.72
1.0,,3.0,96.81
5.0,460.14,10.0,2300.7
,601.6,7.0,1804.8
3.0,184.47,4.0,553.41
1.0,411.34,,411.34
1.0,532.89,2.0,532.89
3.0,136.34,8.0,409.02
5.0,,7.0,2380.05
5.0,236.38,7.0,1181.9
3.0,396.0,4.0,1188.0
5.0,341.96,,1709.8
1.0,672.89,1.0,672.89
2.0,,5.0,1314.96
3.0,498.68,4.0,1496.04
,558.63,8.0,2793.15
3.0,19.73,3.0,59.19
5.0,248.84,10.0,1244.2
3.0,46.11,5.0,138.33
5.0,678.16,7.0,3330.4075
5.0,601.72,,3008.6
,259.32,2.0,518.64
3.0,63.68,6.0,191.04
4.0,,7.0,1484.28
4.0,306.35,7.0,1225.4
4.0,578.27,,2313.08
1.0,529.19,5.0,529.19
,587.49,6.0,1174.98
4.0,567.57,9.0,2270.28
5.0,85.22,,426.1
1.0,438.37,4.0,438.37
,366.23,2.0,732.46
2.0,150.05,4.0,300.1
4.0,,4.0,1994.04
3.0,339.39,7.0,1018.17
2.0,575.83,3.0,1151.66
2.0,642.98,7.0,1285.96
,372.23,7.0,744.46
3.0,646.34,5.0,1939.02
5.0,341.84,8.0,1709.2
3.0,690.3,6.0,2070.9
3.0,382.37,8.0,1147.11
,132.6,4.0,265.2
2.0,189.06,7.0,378.12
4.0,87.79,,351.16
2.0,46.36,,92.72
2.0,642.04,4.0,1284.08
2.0,651.57,7.0,1303.14
3.0,424.89,,1274.67
3.0,438.89,3.0,1316.67
1.0,72.6,6.0,72.6
,194.75,5.0,779.0
4.0,231.26,6.0,925.04
4.0,,,1308.48
1.0,466.42,5.0,466.42
2.0,,3.0,507.34
1.0,257.0,5.0,257.0
4.0,539.2,8.0,2156.8
5.0,50.74,7.0,253.7
,624.16,2.0,1248.32
2.0,372.92,7.0,745.84
4.0,358.75,9.0,1435.0
3.0,342.02,5.0,1026.06
,422.34,4.0,844.68
5.0,22.07,,110.35
3.0,163.13,5.0,489.39
3.0,360.66,5.0,1081.98
3.0,463.39,3.0,1390.17
1.0,155.27,6.0,155.27
3.0,509.42,5.0,1528.26
4.0,652.48,5.0,2609.92
4.0,34.84,8.0,139.36
1.0,234.37,5.0,234.37
3.0,,4.0,160.8
1.0,332.09,,332.09
4.0,593.22,8.0,2372.88
2.0,444.84,7.0,889.68
1.0,,1.0,24.48
3.0,239.08,8.0,717.24
5.0,196.84,5.0,984.2
1.0,176.58,4.0,176.58
,666.52,8.0,2666.08
5.0,101.3,7.0,506.5
4.0,151.2,9.0,604.8
5.0,94.85,,474.25
2.0,388.22,,776.44
3.0,614.15,3.0,1842.45
2.0,92.91,,185.82
,,5.0,276.66
3.0,562.55,6.0,1687.65
,,3.0,92.79
,30.27,9.0,121.08
2.0,49.08,7.0,98.16
5.0,228.09,9.0,1140.45
4.0,650.04,,2600.16
1.0,665.11,3.0,665.11
1.0,,4.0,386.03
5.0,21.54,10.0,107.7
2.0,475.78,2.0,951.56
2.0,68.4,7.0,136.8
4.0,532.49,,2129.96
1.0,51.73,1.0,51.73
3.0,653.63,7.0,1960.89
3.0,454.29,4.0,1362.87
3.0,122.11,,366.33
,64.74,8.0,258.96
2.0,681.06,3.0,1362.12
5.0,128.95,10.0,644.75
2.0,,2.0,237.18
,95.1,,95.1
3.0,54.95,8.0,164.85
3.0,136.97,4.0,410.91
2.0,,5.0,389.7
,583.02,4.0,2332.08
5.0,95.75,,478.75
4.0,325.76,8.0,1303.04
4.0,,6.0,745.64
1.0,474.6,4.0,474.6
5.0,584.46,8.0,2922.3
1.0,132.05,2.0,132.05
4.0,494.84,8.0,1979.36
4.0,224.61,6.0,898.44
4.0,44.07,6.0,176.28
5.0,418.53,6.0,2092.65
4.0,532.87,9.0,2131.48
2.0,485.37,5.0,970.74
4.0,,,1546.92
2.0,,7.0,754.94
5.0,332.64,10.0,1663.2
3.0,699.93,7.0,2099.79
1.0,576.35,1.0,576.35
2.0,461.37,5.0,922.74
4.0,111.3,7.0,445.2
3.0,661.89,6.0,1985.67
2.0,,7.0,519.16
3.0,70.81,8.0,212.43
1.0,518.39,4.0,518.39
,,7.0,581.64
2.0,599.86,7.0,1199.72
4.0,429.37,8.0,1717.48
2.0,241.49,7.0,482.98
,452.05,3.0,904.1
3.0,336.71,4.0,1010.13
1.0,283.69,6.0,283.69
1.0,157.72,,157.72
3.0,624.84,8.0,1874.52
3.0,308.01,3.0,924.03
1.0,,5.0,39.56
4.0,37.76,,151.04
3.0,76.96,8.0,230.88
1.0,569.96,4.0,569.96
,627.43,,3137.15
2.0,534.91,5.0,1069.82
2.0,278.88,3.0,557.76
2.0,323.22,,646.44
5.0,653.46,9.0,3267.3
4.0,,5.0,2714.2
,,6.0,314.38
3.0,692.44,8.0,2077.32
,604.87,4.0,604.87
2.0,512.33,7.0,1024.66
3.0,20.54,,61.62
,625.22,5.0,1250.44
1.0,21.19,5.0,21.19
5.0,64.49,7.0,322.45
4.0,246.85,8.0,987.4
3.0,588.74,8.0,1766.22
4.0,184.48,,737.92
5.0,524.26,5.0,2621.3
2.0,493.63,6.0,987.26
1.0,438.34,5.0,438.34
1.0,,1.0,325.81
1.0,,1.0,176.1
5.0,45.31,8.0,226.55
4.0,221.96,7.0,887.84
2.0,601.43,5.0,1202.86
5.0,691.28,10.0,3330.4075
4.0,417.89,4.0,1671.56
4.0,409.28,8.0,1637.12
2.0,356.35,6.0,712.7
5.0,,8.0,851.1
,384.85,9.0,1539.4
4.0,115.77,7.0,463.08
3.0,579.55,8.0,1738.65
2.0,,2.0,877.52
5.0,,,2441.75
4.0,328.56,4.0,1314.24
1.0,68.39,3.0,68.39
4.0,595.62,8.0,2382.48
5.0,644.64,6.0,3223.2
5.0,397.81,5.0,1989.05
3.0,236.5,8.0,709.5
5.0,472.01,10.0,2360.05
5.0,253.75,9.0,1268.75
3.0,676.21,5.0,2028.63
3.0,,3.0,402.15
,217.43,10.0,1087.15
1.0,,5.0,553.56
2.0,,7.0,57.1
,255.26,6.0,510.52
5.0,,8.0,1462.7
4.0,147.51,4.0,590.04
3.0,569.84,,1709.52
5.0,574.79,8.0,2873.95
4.0,598.19,,2392.76
,,9.0,1563.36
2.0,398.45,7.0,796.9
5.0,623.81,6.0,3119.05
,174.49,5.0,697.96
1.0,479.56,,479.56
4.0,,,2612.52
3.0,481.1,3.0,1443.3
5.0,271.69,7.0,1358.45
3.0,463.81,8.0,1391.43
2.0,639.88,5.0,1279.76
4.0,404.58,,1618.32
1.0,76.93,6.0,76.93
4.0,190.64,5.0,762.56
2.0,88.73,5.0,177.46
,485.71,10.0,2428.55
5.0,78.29,,391.45
5.0,22.14,10.0,110.7
1.0,679.65,6.0,679.65
1.0,,2.0,178.44
5.0,655.55,5.0,3277.75
4.0,577.08,8.0,2308.32
3.0,197.97,5.0,593.91
,411.95,7.0,1235.85
2.0,443.22,5.0,886.44
3.0,364.14,7.0,1092.42
3.0,,8.0,1290.18
,320.92,5.0,320.92
3.0,107.36,5.0,322.08
,,4.0,719.72
4.0,434.23,8.0,1736.92
2.0,645.85,5.0,1291.7
4.0,,7.0,857.4
,638.5,4.0,1915.5
1.0,365.57,,365.57
3.0,568.05,6.0,1704.15
3.0,490.01,,1470.03
3.0,372.6,7.0,1117.8
5.0,240.61,,1203.05
,586.62,5.0,586.62
3.0,257.84,4.0,773.52
5.0,435.66,9.0,2178.3
,261.33,5.0,1306.65
1.0,,1.0,422.54
5.0,330.45,10.0,1652.25
3.0,120.82,5.0,362.46
1.0,14.06,,14.06
1.0,,4.0,491.11
4.0,677.37,,2709.48
5.0,189.25,10.0,946.25
4.0,142.58,4.0,570.32
4.0,316.32,7.0,1265.28
2.0,533.95,5.0,1067.9
4.0,470.09,4.0,1880.36
3.0,324.3,,972.9
4.0,629.34,7.0,2517.36
3.0,136.84,3.0,410.52
,488.9,7.0,977.8
5.0,133.39,6.0,666.95
5.0,608.91,6.0,3044.55
1.0,524.06,3.0,524.06
,330.69,5.0,661.38
2.0,547.67,3.0,1095.34
4.0,,8.0,934.8
2.0,,6.0,897.7
,274.12,6.0,548.24
,561.48,9.0,2807.4
1.0,595.54,4.0,595.54
4.0,515.59,,2062.36
1.0,,1.0,460.13
3.0,171.66,7.0,514.98
,266.95,3.0,533.9
5.0,650.72,8.0,3253.6
3.0,439.53,,1318.59
3.0,654.54,7.0,1963.62
1.0,394.53,2.0,394.53
1.0,678.01,4.0,678.01
3.0,575.01,8.0,1725.03
3.0,154.64,,463.92
3.0,147.29,3.0,441.87
4.0,481.48,,1925.92
,158.37,6.0,475.11
,323.37,3.0,646.74
5.0,73.83,9.0,369.15
,458.63,4.0,458.63
4.0,180.25,7.0,721.0
3.0,473.49,7.0,1420.47
4.0,237.43,8.0,949.72
1.0,442.39,6.0,442.39
1.0,62.12,2.0,62.12
5.0,298.39,,1491.95
2.0,697.93,2.0,1395.86
2.0,291.85,5.0,583.7
3.0,,3.0,926.94
5.0,396.86,9.0,1984.3
2.0,139.69,7.0,279.38
5.0,475.95,,2379.75
1.0,626.6,4.0,626.6
4.0,502.99,4.0,2011.96
5.0,578.83,6.0,2894.15
5.0,383.82,,1919.1
5.0,,5.0,1841.25
,374.6,3.0,749.2
2.0,428.09,6.0,856.18
1.0,438.93,,438.93
2.0,563.82,3.0,1127.64
3.0,649.93,7.0,1949.79
5.0,268.43,5.0,1342.15
,502.47,10.0,2512.35
1.0,26.95,1.0,26.95
4.0,64.69,7.0,258.76
3.0,247.11,,741.33
